Date,AAPL,AGG,AMZN,BA,GOOG,IBM,MGM,QQQ,SPY,T
2014-04-14,18.631427764892578,108.47000122070312,315.9100036621094,123.25,531.0619506835938,197.77000427246094,23.68000030517578,84.7699966430664,182.94000244140625,35.36000061035156
2014-04-15,18.498571395874023,108.4800033569336,316.0799865722656,124.2699966430664,534.9712524414062,197.02000427246094,23.459999084472656,85.05000305175781,184.1999969482422,35.68000030517578
2014-04-16,18.53607177734375,108.54000091552734,323.67999267578125,126.04000091552734,555.0161743164062,196.39999389648438,24.219999313354492,86.18000030517578,186.1300048828125,36.099998474121094
2014-04-17,18.74785804748535,108.19000244140625,324.9100036621094,127.91999816894531,534.6321411132812,190.00999450683594,23.959999084472656,86.19999694824219,186.38999938964844,36.040000915527344
2014-04-21,18.97035789489746,108.18000030517578,330.8699951171875,127.81999969482422,527.1726684570312,192.27000427246094,23.8799991607666,86.83999633789062,187.0399932861328,36.060001373291016
2014-04-22,18.989286422729492,108.16000366210938,329.32000732421875,127.55000305175781,533.345703125,192.14999389648438,24.969999313354492,87.52999877929688,187.88999938964844,36.290000915527344
2014-04-23,18.741071701049805,108.2699966430664,324.5799865722656,130.6300048828125,525.4972534179688,191.72999572753906,24.190000534057617,86.76000213623047,187.4499969482422,34.91999816894531
2014-04-24,20.27750015258789,108.37000274658203,337.1499938964844,129.86000061035156,523.7221069335938,190.22000122070312,24.549999237060547,87.58999633789062,187.8300018310547,34.5
2014-04-25,20.426427841186523,108.38999938964844,303.8299865722656,128.66000366210938,514.7667236328125,189.6300048828125,23.65999984741211,86.19000244140625,186.2899932861328,34.4900016784668
2014-04-28,21.217500686645508,108.31999969482422,296.5799865722656,127.04000091552734,515.7340698242188,193.13999938964844,23.020000457763672,86.47000122070312,186.8800048828125,35.08000183105469
2014-04-29,21.15464210510254,108.37000274658203,300.3800048828125,128.3699951171875,526.2551879882812,195.11000061035156,24.979999542236328,87.16000366210938,187.75,35.41999816894531
2014-04-30,21.074642181396484,108.58999633789062,304.1300048828125,129.02000427246094,525.218017578125,196.47000122070312,25.229999542236328,87.38999938964844,188.30999755859375,35.70000076293945
2014-05-01,21.124286651611328,108.55000305175781,307.8900146484375,128.4600067138672,529.8952026367188,193.52999877929688,25.389999389648438,87.6500015258789,188.3300018310547,35.58000183105469
2014-05-02,21.163572311401367,108.68000030517578,308.010009765625,129.94000244140625,526.4845581054688,191.44000244140625,26.489999771118164,87.48999786376953,188.05999755859375,35.630001068115234
2014-05-05,21.46285629272461,108.63999938964844,310.04998779296875,131.9600067138672,526.3648681640625,191.25999450683594,26.190000534057617,87.94999694824219,188.4199981689453,35.7599983215332
